edad;ingreso_mensual;visitas_web;correos_abiertos;region;dispositivo;convirtio
25;6089;22;13;sur;escritorio;1
66;2872;3;8;oeste;movil;0
42;2160;2;8;norte;movil;0
32;1840;26;1;este;movil;1
61;4111;30;18;este;movil;1
25;4595;0;13;norte;movil;1
66;4094;6;15;sur;escritorio;1
42;7078;6;6;este;escritorio;0
36;6073;5;17;este;escritorio;1
62;3700;9;3;sur;escritorio;0
23;2157;31;2;este;escritorio;0
30;5155;28;14;oeste;movil;0
60;5281;25;11;norte;movil;1
26;4774;38;16;este;movil;1
51;7452;3;8;este;movil;1
61;2108;36;12;oeste;movil;1
45;3292;21;2;sur;escritorio;0
47;4759;20;6;sur;movil;1
29;6576;36;17;este;movil;1
31;3275;12;6;oeste;escritorio;0
49;6240;27;20;este;escritorio;1
47;5492;35;10;sur;movil;1
19;2024;17;9;norte;escritorio;0
32;3703;11;5;este;escritorio;1
32;3827;3;8;este;movil;0
26;5333;23;16;sur;escritorio;0
62;5229;0;19;oeste;escritorio;0
45;5055;6;12;oeste;escritorio;1
51;5117;2;9;sur;movil;0
64;4093;22;10;norte;escritorio;0
50;3545;22;3;sur;movil;0
35;2664;16;6;este;movil;0
26;5403;26;0;sur;movil;1
36;6863;19;14;norte;movil;0
40;5623;30;16;oeste;movil;1
28;4330;24;8;norte;escritorio;0
30;3201;37;4;sur;movil;1
31;4183;26;10;este;movil;1
51;2427;35;0;sur;escritorio;0
65;5566;29;7;sur;movil;1
